accepted_name	max_ma	min_ma
Temnodontosaurus trigonodon	182.9	182.05
Temnodontosaurus trigonodon	182.9	182.05
Temnodontosaurus trigonodon	182.9	182.05
Temnodontosaurus trigonodon	182.9	182.05
Temnodontosaurus trigonodon	182.9	182.05
Temnodontosaurus trigonodon	181.21	180.36
Temnodontosaurus trigonodon	181.21	180.36
Temnodontosaurus trigonodon	181.21	180.36
Temnodontosaurus trigonodon	181.21	180.36
Temnodontosaurus trigonodon	182.9	181.21
Temnodontosaurus trigonodon	182.9	181.21
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus trigonodon	183.7	180.36
Temnodontosaurus trigonodon	182.9	181.21
Temnodontosaurus trigonodon	182.9	181.21
Temnodontosaurus trigonodon	182.9	181.21
Temnodontosaurus trigonodon	182.9	181.21
Temnodontosaurus trigonodon	182.9	181.21
Hauffiopteryx typicus	182.9	182.05
Hauffiopteryx typicus	182.9	182.05
Temnodontosaurus platyodon	197.95	196.4
Hauffiopteryx typicus	176.23	174.97
Hauffiopteryx typicus	183.3	182.9
Stenopterygius quadriscissus	183.1	182.05
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius quadriscissus	183.1	182.9
Stenopterygius quadriscissus	183.1	182.9
Stenopterygius quadriscissus	182.9	182.05
Stenopterygius quadriscissus	182.9	182.05
Stenopterygius quadriscissus	182.9	182.05
Stenopterygius quadriscissus	182.9	182.05
Stenopterygius quadriscissus	182.9	181.21
Stenopterygius quadriscissus	182.9	181.21
Stenopterygius quadriscissus	182.9	181.21
Stenopterygius quadriscissus	182.9	181.21
Stenopterygius quadriscissus	181.21	180.36
Stenopterygius quadriscissus	181.21	180.36
Stenopterygius quadriscissus	181.21	180.36
Stenopterygius quadriscissus	182.9	181.21
Stenopterygius quadriscissus	183.3	182.9
Stenopterygius triscissus	182.9	181.21
Stenopterygius triscissus	182.9	181.21
Stenopterygius triscissus	182.9	181.21
Stenopterygius triscissus	181.21	180.36
Stenopterygius triscissus	181.21	180.36
Stenopterygius triscissus	182.9	182.05
Stenopterygius triscissus	182.9	182.05
Stenopterygius triscissus	182.9	182.05
Stenopterygius triscissus	182.9	182.05
Stenopterygius triscissus	182.9	182.05
Stenopterygius triscissus	183.3	182.9
Stenopterygius triscissus	182.9	180.36
Stenopterygius triscissus	183.1	182.9
Stenopterygius triscissus	181.21	180.36
Stenopterygius triscissus	181.21	180.36
Stenopterygius uniter	181.21	180.36
Stenopterygius uniter	181.21	180.36
Stenopterygius uniter	181.21	180.36
